image,boat_count,detected_image,boat_coordinates,
AXISQ6074EPTZACCC8EACA584_20230919T121001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231019T023001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231013T104001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230916T053501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231023T065501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230919T073501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231021T134001.000Z.jpg,1,View Image,"(1073.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20231014T090501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230924T052001.000Z.jpg,1,View Image,"(345.0, 17.0)",
AXISQ6074EPTZACCC8EACA584_20230911T045001.000Z.jpg,2,View Image,"(1072.0, 45.0); (1161.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231013T065501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231019T120501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230912T114001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230909T043001.000Z.jpg,4,View Image,"(801.0, 53.0); (1133.0, 46.0); (1162.0, 47.0); (603.0, 57.0)",
AXISQ6074EPTZACCC8EACA584_20231019T052501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230906T045501.000Z.jpg,1,View Image,"(1073.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230912T083002.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T061001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230918T050501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231011T024501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231016T023001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231015T110001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230921T092001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231010T101001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230909T102001.000Z.jpg,3,View Image,"(1086.0, 51.0); (1088.0, 90.0); (1071.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230918T035501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231009T054501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230904T043501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231009T133501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T054001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231014T035501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230926T101501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231012T032501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231020T043001.000Z.jpg,0,View Image,,
